Date,Country,Cumulative number of case(s),Number of deaths,Number recovered
26 April 2003,Indonesia   ,1   ,0   ,1   
26 April 2003,Italy   ,4   ,0   ,3   
26 April 2003,Japan   ,2   ,0   ,0   
26 April 2003,Kuwait   ,1   ,0   ,1   
26 April 2003,Malaysia   ,5   ,2   ,2   
26 April 2003,Mongolia   ,5   ,0   ,3   
26 April 2003,Philippines   ,4   ,2   ,1   
26 April 2003,Republic of Ireland   ,1   ,0   ,1   
26 April 2003,Romania   ,1   ,0   ,1   
26 April 2003,Singapore   ,198   ,21   ,126   
26 April 2003,South Africa   ,1   ,0   ,0   
26 April 2003,Spain   ,1   ,0   ,1   
26 April 2003,Sweden   ,3   ,0   ,2   
26 April 2003,Switzerland   ,1   ,0   ,1   
26 April 2003,Thailand   ,7   ,2   ,5   
26 April 2003,United Kingdom   ,6   ,0   ,6   
26 April 2003,United States   ,41   ,0   ,not available   
26 April 2003,Viet Nam   ,63   ,5   ,53   
28 April 2003,Brazil,2,0,2
28 April 2003,Bulgaria,1,0,0
28 April 2003,Canada ,142,18,77
28 April 2003,China,2914,131,1299
28 April 2003,"China, Hong Kong Special Administrative Region^5",1557,138,710
28 April 2003,"China, Taiwan ",66,0,25
28 April 2003,France,5,0,1
28 April 2003,Germany ,7,0,6
28 April 2003,India,1,0,1
28 April 2003,Indonesia,1,0,1
28 April 2003,Italy,8,0,3
28 April 2003,Japan,2,0,0
28 April 2003,Kuwait,1,0,1
28 April 2003,Malaysia,6,2,2
28 April 2003,Mongolia,5,0,3
28 April 2003,Philippines,4,2,1
28 April 2003,Republic of Ireland,1,0,1
28 April 2003,Romania,1,0,1
28 April 2003,Singapore ,199,23,137
28 April 2003,South Africa,1,0,0
28 April 2003,Spain,1,0,1
28 April 2003,Sweden,3,0,2
28 April 2003,Switzerland ,1,0,1
28 April 2003,Thailand ,7,2,5
28 April 2003,United Kingdom ,6,0,6
28 April 2003,United States,41,0,not available
28 April 2003,Viet Nam,63,5,53
29 April 2003,Brazil,2,0,2
29 April 2003,Bulgaria,1,0,0
29 April 2003,Canada ,146,20,86
29 April 2003,China^5,3303,148,1322
29 April 2003,"China, Hong Kong Special Administrative Region^6",1572,150,759
29 April 2003,"China, Taiwan ",66,0,25
29 April 2003,France,5,0,1
29 April 2003,Germany ,7,0,6
29 April 2003,India,1,0,1
29 April 2003,Indonesia,1,0,1
29 April 2003,Italy,9,0,4
29 April 2003,Japan,2,0,0
29 April 2003,Kuwait,1,0,1
29 April 2003,Malaysia,6,2,3
29 April 2003,Mongolia,5,0,3
29 April 2003,Philippines,4,2,1
29 April 2003,Republic of Ireland,1,0,1
29 April 2003,Republic of Korea,1,0,0
29 April 2003,Romania,1,0,1
29 April 2003,Singapore ,201,24,139
29 April 2003,South Africa,1,0,0
29 April 2003,Spain,1,0,1
29 April 2003,Sweden,3,0,2
29 April 2003,Switzerland ,1,0,1
29 April 2003,Thailand ,7,2,5
29 April 2003,United Kingdom ,6,0,6
29 April 2003,United States,41,0,not available
29 April 2003,Viet Nam,63,5,53
30 April 2003,Brazil,2,0,2
30 April 2003,Bulgaria,1,0,0
30 April 2003,Canada ,148,20,87
30 April 2003,China,3460,159,1332
30 April 2003,"China, Hong Kong Special Administrative Region^5",1589,157,791
30 April 2003,"China, Macao Special Administrative Region ",1,0,0
30 April 2003,"China, Taiwan ",78,1,25
30 April 2003,France,5,0,1
30 April 2003,Germany ,7,0,7
30 April 2003,Indonesia,2,0,1
30 April 2003,Italy,9,0,4
30 April 2003,Japan,2,0,0
30 April 2003,Kuwait,1,0,1
30 April 2003,Malaysia,6,2,3
30 April 2003,Mongolia,6,0,3
30 April 2003,Philippines,4,2,1
30 April 2003,Republic of Ireland,1,0,1
30 April 2003,Republic of Korea,1,0,0
30 April 2003,Romania,1,0,1
30 April 2003,Singapore ,201,24,139
30 April 2003,South Africa,1,0,0
30 April 2003,Spain,1,0,1
30 April 2003,Sweden,3,0,2
30 April 2003,Switzerland ,1,0,1
30 April 2003,Thailand ,7,2,5
30 April 2003,United Kingdom ,6,0,6
30 April 2003,United States,52,0,not available
30 April 2003,Viet Nam,63,5,53
1 May 2003,Brazil,2,0,2
1 May 2003,Bulgaria,1,0,0
1 May 2003,Canada ,147,20,87
1 May 2003,China,3638,170,1351
1 May 2003,"China, Hong Kong Special Administrative Region^5",1600,162,834
1 May 2003,"China, Macao Special Administrative Region ",1,0,0
1 May 2003,"China, Taiwan ",89,3,25
1 May 2003,France,5,0,1
1 May 2003,Germany ,7,0,7
1 May 2003,Indonesia,2,0,1
1 May 2003,Italy,9,0,4
1 May 2003,Japan,2,0,0
1 May 2003,Kuwait,1,0,1
1 May 2003,Malaysia,6,2,3
1 May 2003,Mongolia,6,0,3
1 May 2003,Philippines,4,2,1
1 May 2003,Poland,1,0,0
1 May 2003,Republic of Ireland,1,0,1
1 May 2003,Republic of Korea,1,0,0
1 May 2003,Romania,1,0,1
1 May 2003,Singapore ,201,25,143
1 May 2003,South Africa,1,0,0
1 May 2003,Spain,1,0,1
1 May 2003,Sweden,3,0,2
1 May 2003,Switzerland ,1,0,1
1 May 2003,Thailand ,7,2,5
1 May 2003,United Kingdom ,6,0,6
1 May 2003,United States,54,0,23
1 May 2003,Viet Nam,63,5,56
2 May 2003,Brazil,2,0,2
2 May 2003,Bulgaria,1,0,0
2 May 2003,Canada ,149,22,93
2 May 2003,China,3799,181,1372
2 May 2003,"China, Hong Kong Special Administrative Region^4",1611,170,878
2 May 2003,"China, Macao Special Administrative Region",1,0,0
2 May 2003,"China, Taiwan ",100,8,25
2 May 2003,France,5,0,4
2 May 2003,Germany ,7,0,7
2 May 2003,Indonesia,2,0,1
2 May 2003,Italy,9,0,4
2 May 2003,Kuwait,1,0,1
2 May 2003,Malaysia,6,2,3
2 May 2003,Mongolia,8,0,4
2 May 2003,New Zealand,1,0,1
2 May 2003,Philippines,3,2,1
2 May 2003,Poland,1,0,0
2 May 2003,Republic of Ireland,1,0,1
2 May 2003,Republic of Korea,1,0,0
2 May 2003,Romania,1,0,1
2 May 2003,Singapore ,203,25,146
2 May 2003,South Africa,1,0,0
2 May 2003,Spain,1,0,1
2 May 2003,Sweden,3,0,2
2 May 2003,Switzerland ,1,0,1
2 May 2003,Thailand ,7,2,5
2 May 2003,United Kingdom ,6,0,6
2 May 2003,United States,56,0,24
2 May 2003,Viet Nam,63,5,56
3 May 2003,Brazil,2,0,2
3 May 2003,Bulgaria,1,0,0
3 May 2003,Canada ,149,22,94
3 May 2003,China,3971,190,1406
3 May 2003,"China, Hong Kong Special Administrative Region^4",1621,179,898
3 May 2003,"China, Macao Special Administrative Region",1,0,0
3 May 2003,"China, Taiwan ",100,8,25
3 May 2003,France,5,0,4
3 May 2003,Germany ,7,0,7
3 May 2003,Indonesia,2,0,1
3 May 2003,Italy,9,0,4
3 May 2003,Kuwait,1,0,1
3 May 2003,Malaysia,6,2,3
3 May 2003,Mongolia,8,0,4
3 May 2003,New Zealand,1,0,1
3 May 2003,Philippines,3,2,1
3 May 2003,Poland,1,0,0
3 May 2003,Republic of Ireland,1,0,1
3 May 2003,Republic of Korea,1,0,0
3 May 2003,Romania,1,0,1
3 May 2003,Singapore ,203,25,147
3 May 2003,South Africa,1,0,1
3 May 2003,Spain,1,0,1
3 May 2003,Sweden,3,0,2
3 May 2003,Switzerland ,1,0,1
3 May 2003,Thailand ,7,2,5
3 May 2003,United Kingdom ,6,0,6
3 May 2003,United States,54,0,24
3 May 2003,Viet Nam,63,5,58
5 May 2003,Brazil,2,0,2
5 May 2003,Bulgaria,1,0,0
5 May 2003,Canada ,148,22,93
5 May 2003,China,4280,206,1433
5 May 2003,"China, Hong Kong Special Administrative Region^5",1637,187,930
5 May 2003,"China, Macao Special Administrative Region",1,0,0
5 May 2003,"China, Taiwan ",116,8,25
5 May 2003,France,5,0,4
5 May 2003,Germany ,7,0,7
5 May 2003,Indonesia,2,0,1
5 May 2003,Italy,9,0,4
5 May 2003,Kuwait,1,0,1
5 May 2003,Malaysia,7,2,4
5 May 2003,Mongolia,8,0,4
5 May 2003,New Zealand,1,0,1
5 May 2003,Philippines,3,2,1
5 May 2003,Poland,1,0,0
5 May 2003,Republic of Ireland,1,0,1
5 May 2003,Republic of Korea,1,0,0
5 May 2003,Romania,1,0,1
5 May 2003,Singapore ,204,26,149
5 May 2003,South Africa,1,1,0
5 May 2003,Spain,1,0,1
5 May 2003,Sweden,3,0,2
5 May 2003,Switzerland ,1,0,1
5 May 2003,Thailand ,7,2,5
5 May 2003,United Kingdom ,6,0,6
5 May 2003,United States,61,0,26
5 May 2003,Viet Nam,63,5,58
6 May 2003,Brazil,2,0,2
6 May 2003,Bulgaria,1,0,0
6 May 2003,Canada ,148,22,93
6 May 2003,China,4409,214,1460
6 May 2003,"China, Hong Kong Special Administrative Region^5",1646,193,958
6 May 2003,"China, Macao Special Administrative Region",1,0,0
6 May 2003,"China, Taiwan ",116,10,25
6 May 2003,Colombia,1,0,1
6 May 2003,France,5,0,4
6 May 2003,Germany ,7,0,7
6 May 2003,India,1,0,0
6 May 2003,Indonesia,2,0,1
6 May 2003,Italy,9,0,4
6 May 2003,Kuwait,1,0,1
6 May 2003,Malaysia,7,2,4
6 May 2003,Mongolia,8,0,4
6 May 2003,New Zealand,1,0,1
6 May 2003,Philippines,3,2,1
6 May 2003,Poland,1,0,0
6 May 2003,Republic of Ireland,1,0,1
6 May 2003,Republic of Korea,1,0,0
6 May 2003,Romania,1,0,1
6 May 2003,Singapore ,204,27,149
6 May 2003,South Africa,1,1,0
6 May 2003,Spain,1,0,1
6 May 2003,Sweden,3,0,2
6 May 2003,Switzerland ,1,0,1
6 May 2003,Thailand ,7,2,5
6 May 2003,United Kingdom ,6,0,6
6 May 2003,United States,65,0,32
6 May 2003,Viet Nam,63,5,58
7 May 2003,Brazil,2,0,2
7 May 2003,Bulgaria,1,0,0
7 May 2003,Canada ,146,22,93
7 May 2003,China,4560,219,1487
7 May 2003,"China, Hong Kong Special Administrative Region^4",1654,204,984
7 May 2003,"China, Macao Special Administrative Region",1,0,0
7 May 2003,"China, Taiwan ",125,11,26
7 May 2003,Colombia,1,0,1
7 May 2003,France,6,0,4
7 May 2003,Germany ,8,0,7
7 May 2003,India,1,0,0
7 May 2003,Indonesia,2,0,1
7 May 2003,Italy,9,0,5
7 May 2003,Kuwait,1,0,1
7 May 2003,Malaysia,7,2,4
7 May 2003,Mongolia,9,0,6
7 May 2003,New Zealand,1,0,1
7 May 2003,Philippines,10,2,2
7 May 2003,Poland,1,0,0
7 May 2003,Republic of Ireland,1,0,1
7 May 2003,Republic of Korea,1,0,0
7 May 2003,Romania,1,0,1
7 May 2003,Singapore ,204,27,150
7 May 2003,South Africa,1,1,0
7 May 2003,Spain,1,0,1
7 May 2003,Sweden,3,0,2
7 May 2003,Switzerland ,1,0,1
7 May 2003,Thailand ,7,2,5
7 May 2003,United Kingdom ,6,0,6
7 May 2003,United States,65,0,32
7 May 2003,Viet Nam,63,5,58
8 May 2003,Brazil,2,0,2
8 May 2003,Bulgaria,1,0,0
8 May 2003,Canada ,146,22,95
8 May 2003,China,4698,224,1529
8 May 2003,"China, Hong Kong Special Administrative Region^4",1661,208,1008
8 May 2003,"China, Macao Special Administrative Region",1,0,0
8 May 2003,"China, Taiwan ",131,13,26
8 May 2003,Colombia,1,0,1
8 May 2003,Finland,1,0,0
8 May 2003,France,6,0,4
8 May 2003,Germany ,8,0,7
8 May 2003,India,1,0,0
8 May 2003,Indonesia,2,0,1
8 May 2003,Italy,9,0,6
8 May 2003,Kuwait,1,0,1
8 May 2003,Malaysia,7,2,4
8 May 2003,Mongolia,9,0,6
8 May 2003,New Zealand,1,0,1
8 May 2003,Philippines,10,2,2
8 May 2003,Poland,1,0,0
8 May 2003,Republic of Ireland,1,0,1
8 May 2003,Republic of Korea,1,0,1
8 May 2003,Romania,1,0,1
8 May 2003,Singapore ,204,27,153
8 May 2003,South Africa,1,1,0
8 May 2003,Spain,1,0,1
8 May 2003,Sweden,3,0,2
8 May 2003,Switzerland ,1,0,1
8 May 2003,Thailand ,7,2,5
8 May 2003,United Kingdom ,6,0,6
8 May 2003,United States,63,0,33
8 May 2003,Viet Nam,63,5,58
9 May 2003,Brazil,2,0,2
9 May 2003,Bulgaria,1,0,0
9 May 2003,Canada ,145,22,94
9 May 2003,China,4805,230,1582
9 May 2003,"China, Hong Kong Special Administrative Region^4",1667,210,1015
9 May 2003,"China, Macao Special Administrative Region",1,0,0
9 May 2003,"China, Taiwan ",149,13,26
9 May 2003,Colombia,1,0,1
9 May 2003,Finland,1,0,0
9 May 2003,France,6,0,4
9 May 2003,Germany ,9,0,9
9 May 2003,India,1,0,0
9 May 2003,Indonesia,2,0,1
9 May 2003,Italy,9,0,9
9 May 2003,Kuwait,1,0,1
9 May 2003,Malaysia,6,2,4
9 May 2003,Mongolia,9,0,6
9 May 2003,New Zealand,1,0,1
9 May 2003,Philippines,10,2,2
9 May 2003,Poland,1,0,0
9 May 2003,Republic of Ireland,1,0,1
9 May 2003,Republic of Korea,1,0,1
9 May 2003,Romania,1,0,1
9 May 2003,Singapore ,204,27,153
9 May 2003,South Africa,1,1,0
9 May 2003,Spain,1,0,1
9 May 2003,Sweden,3,0,2
9 May 2003,Switzerland ,1,0,1
9 May 2003,Thailand ,7,2,5
9 May 2003,United Kingdom ,6,0,6
9 May 2003,United States,63,0,33
9 May 2003,Viet Nam,63,5,58
10 May 2003,Brazil,2,0,2
10 May 2003,Bulgaria,1,0,0
10 May 2003,Canada ,145,22,97
10 May 2003,China,4884,235,1620
10 May 2003,"China, Hong Kong Special Administrative Region^4",1674,212,1035
10 May 2003,"China, Macao Special Administrative Region",1,0,0
10 May 2003,"China, Taiwan ",172,18,26
10 May 2003,Colombia,1,0,1
10 May 2003,Finland,1,0,0
10 May 2003,France,7,0,4
10 May 2003,Germany ,9,0,9
10 May 2003,India,1,0,0
10 May 2003,Indonesia,2,0,1
10 May 2003,Italy,9,0,9
10 May 2003,Kuwait,1,0,1
10 May 2003,Malaysia,7,2,4
10 May 2003,Mongolia,9,0,6
10 May 2003,New Zealand,1,0,1
10 May 2003,Philippines,10,2,2
10 May 2003,Poland,1,0,0
10 May 2003,Republic of Ireland,1,0,1
10 May 2003,Republic of Korea,1,0,1
10 May 2003,Romania,1,0,1
10 May 2003,Singapore ,205,27,155
10 May 2003,South Africa,1,1,0
10 May 2003,Spain,1,0,1
10 May 2003,Sweden,3,0,2
10 May 2003,Switzerland ,1,0,1
10 May 2003,Thailand ,7,2,5
10 May 2003,United Kingdom ,6,0,6
10 May 2003,United States,64,0,34
10 May 2003,Viet Nam,63,5,58
12 May 2003,Brazil,2,0,2
12 May 2003,Bulgaria,1,0,0
12 May 2003,Canada ,143,22,98
12 May 2003,China,5013,252,1693
12 May 2003,"China, Hong Kong Special Administrative Region^5",1683,218,1066
12 May 2003,"China, Macao Special Administrative Region",1,0,0
12 May 2003,"China, Taiwan ",184,20,26
12 May 2003,Colombia,1,0,1
12 May 2003,Finland,1,0,0
12 May 2003,France,7,0,4
12 May 2003,Germany ,9,0,9
12 May 2003,India,1,0,0
12 May 2003,Indonesia,2,0,1
12 May 2003,Italy,9,0,8
12 May 2003,Kuwait,1,0,1
12 May 2003,Malaysia,7,2,4
12 May 2003,Mongolia,9,0,6
12 May 2003,New Zealand,1,0,1
12 May 2003,Philippines,10,2,3
12 May 2003,Poland,1,0,0
12 May 2003,Republic of Ireland,1,0,1
12 May 2003,Republic of Korea,2,0,1
12 May 2003,Romania,1,0,1
12 May 2003,Singapore ,205,28,156
12 May 2003,South Africa,1,1,0
12 May 2003,Spain,1,0,1
12 May 2003,Sweden,3,0,2
12 May 2003,Switzerland ,1,0,1
12 May 2003,Thailand ,7,2,5
12 May 2003,United Kingdom ,6,0,6
12 May 2003,United States,64,0,34
12 May 2003,Viet Nam,63,5,58
13 May 2003,Brazil,2,0,2
13 May 2003,Bulgaria,1,0,0
13 May 2003,Canada ,143,22,99
13 May 2003,China,5086,262,1765
13 May 2003,"China, Hong Kong Special Administrative Region^4",1689,225,1090
13 May 2003,"China, Macao Special Administrative Region",1,0,0
13 May 2003,"China, Taiwan ",207,24,30
13 May 2003,Colombia,1,0,1
13 May 2003,Finland,1,0,0
13 May 2003,France,7,0,4
13 May 2003,Germany ,9,0,9
13 May 2003,India,3,0,0
13 May 2003,Indonesia,2,0,1
13 May 2003,Italy,9,0,9
13 May 2003,Kuwait,1,0,1
13 May 2003,Malaysia,7,2,4
13 May 2003,Mongolia,9,0,6
13 May 2003,New Zealand,1,0,1
13 May 2003,Philippines,10,2,3
13 May 2003,Republic of Ireland,1,0,1
13 May 2003,Republic of Korea,2,0,1
13 May 2003,Romania,1,0,1
13 May 2003,Singapore ,205,28,157
13 May 2003,South Africa,1,1,0
13 May 2003,Spain,1,0,1
13 May 2003,Sweden,3,0,3
13 May 2003,Switzerland ,1,0,1
13 May 2003,Thailand ,7,2,5
13 May 2003,United Kingdom ,4,0,4
13 May 2003,United States,64,0,35
13 May 2003,Viet Nam,63,5,58
14 May 2003,Brazil,2,0,2
14 May 2003,Bulgaria,1,0,0
14 May 2003,Canada ,143,23,104
14 May 2003,China,5124,267,1811
14 May 2003,"China, Hong Kong Special Administrative Region^4",1698,227,1128
14 May 2003,"China, Macao Special Administrative Region",1,0,0
14 May 2003,"China, Taiwan ",238,30,38
14 May 2003,Colombia,1,0,1
14 May 2003,Finland,1,0,0
14 May 2003,France,7,0,4
14 May 2003,Germany ,9,0,9
14 May 2003,India,3,0,0
14 May 2003,Indonesia,2,0,2
14 May 2003,Italy,9,0,9
14 May 2003,Kuwait,1,0,1
14 May 2003,Malaysia,7,2,5
14 May 2003,Mongolia,9,0,6
14 May 2003,New Zealand,1,0,1
14 May 2003,Philippines,10,2,3
14 May 2003,Republic of Ireland,1,0,1
14 May 2003,Republic of Korea,3,0,1
14 May 2003,Romania,1,0,1
14 May 2003,Singapore ,205,28,157
14 May 2003,South Africa,1,1,0
14 May 2003,Spain,1,0,1
14 May 2003,Sweden,3,0,3
14 May 2003,Switzerland ,1,0,1
14 May 2003,Thailand ,8,2,5
14 May 2003,United Kingdom ,4,0,4
14 May 2003,United States,64,0,35
14 May 2003,Viet Nam,63,5,58
15 May 2003,Brazil,2,0,2
15 May 2003,Bulgaria,1,0,0
15 May 2003,Canada ,142,23,107
15 May 2003,China,5163,271,1858
15 May 2003,"China, Hong Kong Special Administrative Region^4",1703,234,1160
15 May 2003,"China, Macao Special Administrative Region",1,0,0
15 May 2003,"China, Taiwan ",264,30,38
15 May 2003,Colombia,1,0,1
15 May 2003,Finland,1,0,0
15 May 2003,France,7,0,4
15 May 2003,Germany ,9,0,9
15 May 2003,India,3,0,3
15 May 2003,Indonesia,2,0,2
15 May 2003,Italy,9,0,9
15 May 2003,Kuwait,1,0,1
15 May 2003,Malaysia,7,2,5
15 May 2003,Mongolia,9,0,7
15 May 2003,New Zealand,1,0,1
15 May 2003,Philippines,12,2,4
15 May 2003,Republic of Ireland,1,0,1
15 May 2003,Republic of Korea,3,0,1
15 May 2003,Romania,1,0,1
15 May 2003,Singapore ,205,28,157
15 May 2003,South Africa,1,1,0
15 May 2003,Spain,1,0,1
15 May 2003,Sweden,3,0,3
15 May 2003,Switzerland ,1,0,1
15 May 2003,Thailand ,8,2,5
15 May 2003,United Kingdom ,4,0,4
15 May 2003,United States,64,0,35
15 May 2003,Viet Nam,63,5,58
16 May 2003,Brazil,2,0,2
16 May 2003,Bulgaria,1,0,0
16 May 2003,Canada ,140,23,106
16 May 2003,China,5191,275,1947
16 May 2003,"China, Hong Kong Special Administrative Region^4",1706,238,1171
16 May 2003,"China, Macao Special Administrative Region",1,0,0
16 May 2003,"China, Taiwan ",274,35,46
16 May 2003,Colombia,1,0,1
16 May 2003,Finland,1,0,0
16 May 2003,France,7,0,4
16 May 2003,Germany ,9,0,9
16 May 2003,India,3,0,3
16 May 2003,Indonesia,2,0,2
16 May 2003,Italy,9,0,9
16 May 2003,Kuwait,1,0,1
16 May 2003,Malaysia,7,2,5
16 May 2003,Mongolia,9,0,7
16 May 2003,New Zealand,1,0,1
16 May 2003,Philippines,12,2,4
16 May 2003,Republic of Ireland,1,0,1
16 May 2003,Republic of Korea,3,0,1
16 May 2003,Romania,1,0,1
16 May 2003,Singapore ,205,28,157
16 May 2003,South Africa,1,1,0
16 May 2003,Spain,1,0,1
16 May 2003,Sweden,3,0,3
16 May 2003,Switzerland ,1,0,1
16 May 2003,Thailand ,8,2,5
16 May 2003,United Kingdom ,4,0,4
16 May 2003,United States,65,0,34
16 May 2003,Viet Nam,63,5,58
17 May 2003,Brazil,2,0,2
17 May 2003,Canada ,140,23,106
17 May 2003,China,5209,282,2009
17 May 2003,"China, Hong Kong Special Administrative Region^4",1710,243,1191
17 May 2003,"China, Macao Special Administrative Region",1,0,0
17 May 2003,"China, Taiwan ",274,35,46
17 May 2003,Colombia,1,0,1
17 May 2003,Finland,1,0,0
17 May 2003,France,7,0,6
17 May 2003,Germany ,9,0,9
17 May 2003,India,3,0,3
17 May 2003,Indonesia,2,0,2
17 May 2003,Italy,9,0,9
17 May 2003,Kuwait,1,0,1
17 May 2003,Malaysia,7,2,5
17 May 2003,Mongolia,9,0,7
17 May 2003,New Zealand,1,0,1
17 May 2003,Philippines,12,2,4
17 May 2003,Republic of Ireland,1,0,1
17 May 2003,Republic of Korea,3,0,1
17 May 2003,Romania,1,0,1
17 May 2003,Singapore ,205,28,157
17 May 2003,South Africa,1,1,0
17 May 2003,Spain,1,0,1
17 May 2003,Sweden,3,0,3
17 May 2003,Switzerland ,1,0,1
17 May 2003,Thailand ,8,2,5
17 May 2003,United Kingdom ,4,0,4
17 May 2003,United States,66,0,34
17 May 2003,Viet Nam,63,5,58
19 May 2003,Brazil,2,0,2
19 May 2003,Canada ,140,23,106
19 May 2003,China,5236,289,2148
19 May 2003,"China, Hong Kong Special Administrative Region^5",1714,251,1213
19 May 2003,"China, Macao Special Administrative Region",1,0,0
19 May 2003,"China, Taiwan ",344,40,50
19 May 2003,Colombia,1,0,1
19 May 2003,Finland,1,0,0
19 May 2003,France,7,0,6
19 May 2003,Germany ,9,0,9
19 May 2003,India,3,0,3
19 May 2003,Indonesia,2,0,2
19 May 2003,Italy,9,0,9
19 May 2003,Kuwait,1,0,1
19 May 2003,Malaysia,7,2,5
19 May 2003,Mongolia,9,0,8
19 May 2003,New Zealand,1,0,1
19 May 2003,Philippines,12,2,8
19 May 2003,Republic of Ireland,1,0,1
19 May 2003,Republic of Korea,3,0,1
19 May 2003,Romania,1,0,1
19 May 2003,Singapore ,206,28,160
19 May 2003,South Africa,1,1,0
19 May 2003,Spain,1,0,1
19 May 2003,Sweden,3,0,3
19 May 2003,Switzerland ,1,0,1
19 May 2003,Thailand ,8,2,5
19 May 2003,United Kingdom ,4,0,4
19 May 2003,United States,67,0,34
19 May 2003,Viet Nam,63,5,58
20 May 2003,Brazil,2,0,2
20 May 2003,Canada ,140,23,106
20 May 2003,China,5248,294,2254
20 May 2003,"China, Hong Kong Special Administrative Region^4",1718,253,1229
20 May 2003,"China, Macao Special Administrative Region",1,0,0
20 May 2003,"China, Taiwan ",383,52,63
20 May 2003,Colombia,1,0,1
20 May 2003,Finland,1,0,0
20 May 2003,France,7,0,6
20 May 2003,Germany ,9,0,9
20 May 2003,India,3,0,3
20 May 2003,Indonesia,2,0,2
20 May 2003,Italy,9,0,9
20 May 2003,Kuwait,1,0,1
20 May 2003,Malaysia,7,2,5
20 May 2003,Mongolia,9,0,8
20 May 2003,New Zealand,1,0,1
20 May 2003,Philippines,12,2,8
20 May 2003,Republic of Ireland,1,0,1
20 May 2003,Republic of Korea,3,0,2
20 May 2003,Romania,1,0,1
20 May 2003,Singapore ,206,28,161
20 May 2003,South Africa,1,1,0
20 May 2003,Spain,1,0,1
20 May 2003,Sweden,3,0,3
20 May 2003,Switzerland ,1,0,1
20 May 2003,Thailand ,8,2,5
20 May 2003,United Kingdom ,4,0,4
20 May 2003,United States,67,0,34
20 May 2003,Viet Nam,63,5,58
21 May 2003,Brazil,2,0,2
21 May 2003,Canada ,140,23,108
21 May 2003,China,5249,296,2335
21 May 2003,"China, Hong Kong Special Administrative Region^4",1719,255,1237
21 May 2003,"China, Macao Special Administrative Region",1,0,0
21 May 2003,"China, Taiwan ",418,52,71
21 May 2003,Colombia,1,0,1
21 May 2003,Finland,1,0,1
21 May 2003,France,7,0,6
21 May 2003,Germany ,9,0,9
21 May 2003,India,3,0,3
21 May 2003,Indonesia,2,0,2
21 May 2003,Italy,9,0,9
21 May 2003,Kuwait,1,0,1
21 May 2003,Malaysia,8,2,5
21 May 2003,Mongolia,9,0,8
21 May 2003,New Zealand,1,0,1
21 May 2003,Philippines,12,2,10
21 May 2003,Republic of Ireland,1,0,1
21 May 2003,Republic of Korea,3,0,2
21 May 2003,Romania,1,0,1
21 May 2003,Singapore ,206,28,161
21 May 2003,South Africa,1,1,0
21 May 2003,Spain,1,0,1
21 May 2003,Sweden,3,0,3
21 May 2003,Switzerland ,1,0,1
21 May 2003,Thailand ,8,2,5
21 May 2003,United Kingdom ,4,0,4
21 May 2003,United States,66,0,33
21 May 2003,Viet Nam,63,5,58
22 May 2003,Australia,6,0,6
22 May 2003,Brazil,2,0,2
22 May 2003,Canada ,140,23,109
22 May 2003,China,5271,300,2445
22 May 2003,"China, Hong Kong Special Administrative Region4",1722,258,1247
22 May 2003,"China, Macao Special Administrative Region",2,0,0
22 May 2003,"China, Taiwan ",483,60,74
22 May 2003,Colombia,1,0,1
22 May 2003,Finland,1,0,1
22 May 2003,France,7,0,6
22 May 2003,Germany ,9,0,9
22 May 2003,India,3,0,3
22 May 2003,Indonesia,2,0,2
22 May 2003,Italy,9,0,9
22 May 2003,Kuwait,1,0,1
22 May 2003,Malaysia,8,2,5
22 May 2003,Mongolia,9,0,8
22 May 2003,New Zealand,1,0,1
22 May 2003,Philippines,12,2,10
22 May 2003,Republic of Ireland,1,0,1
22 May 2003,Republic of Korea,3,0,2
22 May 2003,Romania,1,0,1
22 May 2003,Singapore ,206,29,162
22 May 2003,South Africa,1,1,0
22 May 2003,Spain,1,0,1
22 May 2003,Sweden,3,0,3
22 May 2003,Switzerland ,1,0,1
22 May 2003,Thailand ,8,2,5
22 May 2003,United Kingdom ,4,0,4
22 May 2003,United States,65,0,33
22 May 2003,Viet Nam,63,5,58
23 May 2003,Brazil,2,0,2
23 May 2003,Canada ,140,23,109
23 May 2003,China,5285,303,2544
23 May 2003,"China, Hong Kong Special Administrative Region^4",1724,260,1255
23 May 2003,"China, Macao Special Administrative Region",2,0,0
23 May 2003,"China, Taiwan ",538,60,82
23 May 2003,Colombia,1,0,1
23 May 2003,Finland,1,0,1
23 May 2003,France,7,0,6
23 May 2003,Germany ,9,0,9
23 May 2003,India,3,0,3
23 May 2003,Indonesia,2,0,2
23 May 2003,Italy,9,0,9
